FullFunction,datafusion-acero,datafusion-datafusion,datafusion-duckdb,duckdb-acero,duckdb-datafusion,duckdb-duckdb,ibis-acero,ibis-datafusion,ibis-duckdb,isthmus-acero,isthmus-datafusion,isthmus-duckdb
approximation.approx_count_distinct,False,False,False,False,False,True,False,False,False,False,False,False
approximation.approx_distinct,False,False,False,False,False,False,False,False,False,False,False,False
arithmetic.abs,False,True,False,False,False,True,True,False,False,True,False,False
arithmetic.acos,False,False,False,False,False,True,False,False,False,True,False,False
arithmetic.add,False,True,False,False,False,True,True,False,False,True,False,False
arithmetic.asin,False,False,False,False,False,True,False,False,False,True,False,False
arithmetic.atan,False,False,False,False,False,True,False,False,False,True,False,False
arithmetic.atan2,False,False,False,False,False,True,False,False,False,True,False,False
arithmetic.avg,False,True,False,False,False,True,False,False,False,False,False,False
arithmetic.cos,False,True,False,False,False,True,False,False,False,True,False,False
arithmetic.count,False,True,False,False,False,True,False,False,False,True,False,False
arithmetic.count_star,False,True,False,False,False,True,False,False,False,True,False,False
arithmetic.divide,False,False,False,False,False,True,False,False,False,False,False,False
arithmetic.exp,False,True,False,False,False,True,False,False,False,False,False,False
arithmetic.factorial,False,True,False,False,False,True,False,False,False,False,False,False
arithmetic.max,False,False,False,False,False,True,False,False,False,True,False,False
arithmetic.median,False,False,False,False,False,True,False,False,False,False,False,False
arithmetic.min,False,False,False,False,False,True,False,False,False,True,False,False
arithmetic.mode,False,False,False,False,False,True,False,False,False,False,False,False
arithmetic.modulus,False,False,False,False,False,True,False,False,False,False,False,False
arithmetic.multiply,False,True,False,False,False,True,True,False,False,True,False,False
arithmetic.negate,False,False,False,False,False,False,True,False,False,False,False,False
arithmetic.power,False,False,False,False,False,True,False,False,False,False,False,False
arithmetic.product,False,False,False,False,False,True,False,False,False,False,False,False
arithmetic.sign,False,False,False,False,False,True,True,False,False,True,False,False
arithmetic.sin,False,True,False,False,False,True,False,False,False,True,False,False
arithmetic.sqrt,False,True,False,False,False,True,False,False,False,True,False,False
arithmetic.std_dev,False,False,False,False,False,True,False,False,False,False,False,False
arithmetic.subtract,False,True,False,False,False,True,True,False,False,True,False,False
arithmetic.sum,False,True,False,False,False,True,False,False,False,True,False,False
arithmetic.tan,False,True,False,False,False,True,False,False,False,True,False,False
