FullFunction,datafusion,duckdb,ibis,isthmus
approximation.approx_count_distinct,False,False,False,False
approximation.approx_distinct,True,False,False,False
arithmetic_decimal.add,False,True,False,False
arithmetic_decimal.subtract,False,True,False,False
arithmetic_decimal.multiply,False,True,False,False
arithmetic_decimal.divide,False,True,False,False
arithmetic_decimal.modulus,False,True,False,False
arithmetic_decimal.sum,True,True,False,False
arithmetic_decimal.avg,True,True,False,False
arithmetic_decimal.min,True,True,False,False
arithmetic_decimal.max,True,True,False,False
arithmetic.add,True,True,False,False
arithmetic.subtract,True,True,False,False
arithmetic.multiply,True,True,False,False
arithmetic.divide,True,True,False,False
arithmetic.modulus,False,True,False,False
arithmetic.factorial,True,True,False,False
arithmetic.power,True,True,False,False
arithmetic.sqrt,True,True,False,False
arithmetic.exp,True,True,False,False
arithmetic.negate,False,False,False,False
arithmetic.cos,True,True,False,False
arithmetic.acos,True,True,False,False
arithmetic.sin,True,True,False,False
arithmetic.asin,True,True,False,False
arithmetic.tan,True,True,False,False
arithmetic.atan,True,True,False,False
arithmetic.atan2,True,True,False,False
arithmetic.abs,True,True,False,False
arithmetic.sign,False,True,False,False
arithmetic.sum,True,True,False,False
arithmetic.count,True,True,False,False
arithmetic.count_star,True,True,False,False
arithmetic.avg,True,True,False,False
arithmetic.min,True,True,False,False
arithmetic.max,True,True,False,False
arithmetic.median,True,True,False,False
arithmetic.mode,False,True,False,False
arithmetic.product,False,True,False,False
arithmetic.std_dev,False,True,False,False
arithmetic.variance,False,True,False,False
boolean.or,True,True,False,False
boolean.and,True,True,False,False
boolean.not,True,True,False,False
boolean.xor,False,True,False,False
boolean.bool_and,True,True,False,False
boolean.bool_or,True,True,False,False
comparison.not_equal,True,True,False,False
comparison.equal,True,True,False,False
comparison.is_not_distinct_from,True,True,False,False
comparison.lt,True,True,False,False
comparison.lte,True,True,False,False
comparison.gt,True,True,False,False
comparison.gte,True,True,False,False
comparison.is_not_null,False,True,False,False
comparison.is_null,False,True,False,False
comparison.is_nan,True,True,False,False
comparison.is_finite,False,True,False,False
comparison.is_infinite,False,True,False,False
comparison.between,True,True,False,False
comparison.coalesce,False,False,False,False
datetime.extract,True,True,False,False
datetime.add,False,True,False,False
datetime.subtract,False,True,False,False
datetime.lt,True,True,False,False
datetime.lte,True,True,False,False
datetime.gt,True,True,False,False
datetime.gte,True,True,False,False
datetime.add_intervals,False,False,False,False
logarithmic.ln,True,True,False,False
logarithmic.log10,True,True,False,False
logarithmic.log2,True,True,False,False
logarithmic.logb,False,False,False,False
rounding.ceil,True,True,False,False
rounding.floor,True,True,False,False
rounding.round,True,True,False,False
string.concat,True,True,False,False
string.concat_ws,True,True,False,False
string.like,True,True,False,False
string.starts_with0,True,False,False,False
string.starts_with1,False,True,False,False
string.ends_with,False,True,False,False
string.substring0,True,True,False,False
string.substring1,False,False,False,False
string.contains,True,True,False,False
string.strpos,True,True,False,False
string.replace,True,True,False,False
string.repeat,True,True,False,False
string.reverse,True,True,False,False
string.lower,True,True,False,False
string.upper,True,True,False,False
string.char_length,True,True,False,False
string.bit_length,True,True,False,False
string.ltrim,True,True,False,False
string.rtrim,True,True,False,False
string.trim,False,True,False,False
string.lpad,True,True,False,False
string.rpad,True,True,False,False
string.left,True,True,False,False
string.right,True,True,False,False
string.string_agg,False,True,False,False
